"service_name","service_category","sub_category","official_website","description","government_fee","recommended_service_charge","eligibility","application_process","required_documents","authorization_required","csc_required","grama_one_required","aadhaar_operator_required","last_verified_date","portal_status"
"PM Fasal Bima Yojana","CENTRAL GOVERNMENT SERVICES","Farmer Services","https://pmfby.gov.in/","Crop insurance scheme.","Varies","Rs. 50","Farmers","Online","Aadhaar, Bank Details, Land Records, Sowing Certificate","CSC","True","False","False","2024-06-16","Active"
"Soil Health Card","CENTRAL GOVERNMENT SERVICES","Farmer Services","https://soilhealth.dac.gov.in/","Soil health status and nutrient recommendations.","Free","Rs. 50","Farmers","Online/Local Centers","Aadhaar, Land Details","None","False","False","False","2024-06-16","Active"
"Agriculture Schemes","CENTRAL GOVERNMENT SERVICES","Farmer Services","https://agricoop.nic.in/","National agriculture development schemes.","Free","Rs. 50","Farmers","Online","Aadhaar, Land Details","None","False","False","False","2024-06-16","Active"
"Udyam Registration","BUSINESS SERVICES","Business Registrations","https://udyamregistration.gov.in/","MSME registration.","Free","Rs. 200","MSMEs","Online","Aadhaar, PAN, Bank details","None","False","False","False","2024-06-16","Active"
"MSME Samadhaan","BUSINESS SERVICES","Business Services","https://samadhaan.msme.gov.in/","Delayed payment monitoring portal for MSMEs.","Free","Rs. 100","Udyam Registered MSMEs","Online","Udyam Number, Invoice copies","None","False","False","False","2024-06-16","Active"
"GST Portal","BUSINESS SERVICES","Tax Services","https://www.gst.gov.in/","GST registration and return filing.","Free","Rs. 1000","Businesses","Online","PAN, Aadhaar, Business Address Proof, Bank details","None","False","False","False","2024-06-16","Active"
"GeM Portal","BUSINESS SERVICES","Procurement","https://gem.gov.in/","Government e-Marketplace.","Free","Rs. 500","Sellers & Buyers","Online","Aadhaar, PAN, Udyam, Bank details","None","False","False","False","2024-06-16","Active"
"Import Export Code (IEC)","BUSINESS SERVICES","Trade","https://www.dgft.gov.in/","IEC generation.","Rs. 500","Rs. 1000","Importers/Exporters","Online","PAN, Cancelled Cheque, Address Proof","None","False","False","False","2024-06-16","Active"
"Startup India","BUSINESS SERVICES","Business Registration","https://www.startupindia.gov.in/","DPIIT recognition.","Free","Rs. 2000","Registered Startups","Online","Incorporation Certificate, Pitch","None","False","False","False","2024-06-16","Active"
"Standup India","BUSINESS SERVICES","Financial Services","https://www.standupmitra.in/","Loans for SC/ST and women entrepreneurs.","Free","Rs. 500","SC/ST/Women entrepreneurs","Online","Aadhaar, Caste Certificate, Project Report","None","False","False","False","2024-06-16","Active"
"DigiLocker","CENTRAL GOVERNMENT SERVICES","Citizen Services","https://www.digilocker.gov.in/","Digital document wallet.","Free","Rs. 30","Indian Citizens","Online","Aadhaar","None","False","False","False","2024-06-16","Active"
"UMANG","CENTRAL GOVERNMENT SERVICES","Citizen Services","https://web.umang.gov.in/","Unified Mobile Application for New-age Governance.","Free","Rs. 30","Indian Citizens","Online","Aadhaar, Mobile Number","None","False","False","False","2024-06-16","Active"
"MyGov","CENTRAL GOVERNMENT SERVICES","Citizen Services","https://www.mygov.in/","Citizen engagement platform.","Free","Free","Indian Citizens","Online","Email ID, Mobile Number","None","False","False","False","2024-06-16","Active"
"Ayushman Bharat (PMJAY)","CENTRAL GOVERNMENT SERVICES","Welfare Schemes","https://pmjay.gov.in/","Health insurance scheme.","Free","Rs. 50","SECC Data Listed Families","CSC/Hospital","Aadhaar, Ration Card","CSC","True","False","False","2024-06-16","Active"
"PMEGP","CENTRAL GOVERNMENT SERVICES","Welfare Schemes","https://www.kviconline.gov.in/pmegpeportal/","Prime Minister Employment Generation Programme.","Free","Rs. 500","Entrepreneurs","Online","Aadhaar, Project Profile, Caste Certificate","None","False","False","False","2024-06-16","Active"
"Central Pension Schemes","PF & PENSION","Pension Services","https://pensionersportal.gov.in/","Central government pensioner services.","Free","Rs. 100","Central Govt Pensioners","Online","PPO Number, Aadhaar","None","False","False","False","2024-06-16","Active"
"Women Welfare Schemes","CENTRAL GOVERNMENT SERVICES","Welfare Schemes","https://wcd.nic.in/","Schemes by Ministry of Women and Child Development.","Free","Rs. 50","Women","Online","Aadhaar, Bank details","None","False","False","False","2024-06-16","Active"
"Senior Citizen Welfare","CENTRAL GOVERNMENT SERVICES","Welfare Schemes","https://socialjustice.gov.in/","Senior citizen empowerment and pension schemes.","Free","Rs. 50","Senior Citizens","Online","Aadhaar, Age Proof","None","False","False","False","2024-06-16","Active"
"National Scholarship Portal (NSP)","SCHOLARSHIPS","Central Government Scholarships","https://scholarships.gov.in/","Centralized portal for all national scholarships.","Free","Rs. 100","Students","Online","Aadhaar, Bonafide certificate, Bank Account, Income certificate","None","False","False","False","2024-06-16","Active"
"NTA (National Testing Agency)","CENTRAL GOVERNMENT SERVICES","Education Services","https://nta.ac.in/","Exam conduction for higher education.","Varies by exam","Rs. 100","Students","Online","Aadhaar, Photo, Signature","None","False","False","False","2024-06-16","Active"
"NEET Portal","CENTRAL GOVERNMENT SERVICES","Education Services","https://neet.nta.nic.in/","Medical entrance exam registration.","Varies","Rs. 150","12th Science Students","Online","Photo, Signature, Thumb impression, 10th/12th Marks","None","False","False","False","2024-06-16","Active"
"JEE Portal","CENTRAL GOVERNMENT SERVICES","Education Services","https://jeemain.nta.nic.in/","Engineering entrance exam registration.","Varies","Rs. 150","12th Science Students","Online","Photo, Signature, Category Certificate","None","False","False","False","2024-06-16","Active"
"CUET Portal","CENTRAL GOVERNMENT SERVICES","Education Services","https://cuet.samarth.ac.in/","Central University Entrance Test.","Varies","Rs. 150","12th Pass Students","Online","Photo, Signature, ID Proof","None","False","False","False","2024-06-16","Active"
"UGC","CENTRAL GOVERNMENT SERVICES","Education Services","https://www.ugc.ac.in/","University Grants Commission.","Free","Free","Universities/Colleges","Online","Institutional Docs","None","False","False","False","2024-06-16","Active"
"AICTE","CENTRAL GOVERNMENT SERVICES","Education Services","https://www.aicte-india.org/","All India Council for Technical Education.","Free","Free","Technical Institutes","Online","Institutional Docs","None","False","False","False","2024-06-16","Active"
"Nadakacheri","KARNATAKA GOVERNMENT SERVICES","Revenue Department","https://nadakacheri.karnataka.gov.in/","Income, Caste, Residence certificates.","Rs. 40","Rs. 50","Karnataka Residents","Online/Grama One","Aadhaar, Ration Card","Grama One","False","True","False","2024-06-16","Active"
"Bhoomi (RTC)","LAND RECORDS","Revenue Department","https://landrecords.karnataka.gov.in/","Download Digital RTC (Record of Rights, Tenancy and Crops).","Rs. 15","Rs. 30","Landowners","Online","Survey Number, Hissa Number","None","False","False","False","2024-06-16","Active"
"Bhoomi (Mutation)","LAND RECORDS","Revenue Department","https://landrecords.karnataka.gov.in/","Check mutation status and details.","Free","Rs. 30","Landowners","Online","Survey Number","None","False","False","False","2024-06-16","Active"
"Bhoomi (Survey Services)","LAND RECORDS","Revenue Department","https://landrecords.karnataka.gov.in/","Request for survey and boundary details.","Varies","Rs. 100","Landowners","Online","RTC, Aadhaar","None","False","False","False","2024-06-16","Active"
"Seva Sindhu","KARNATAKA GOVERNMENT SERVICES","Citizen Services","https://sevasindhu.karnataka.gov.in/","Delivery of citizen services (Gruha Jyothi, Shakti, etc).","Free","Rs. 50","Karnataka Residents","Online","Aadhaar, Ration Card, Bescom Bill","Grama One","False","True","False","2024-06-16","Active"
"Sakala","KARNATAKA GOVERNMENT SERVICES","Citizen Services","https://sakala.kar.nic.in/","Guarantee of Services to Citizens status check.","Free","Free","Applicants","Online","GSC Number","None","False","False","False","2024-06-16","Active"
"Karnataka Transport Services","KARNATAKA GOVERNMENT SERVICES","Transport","https://transport.karnataka.gov.in/","RTO services, DL, LL, Vehicle Registration.","Varies","Rs. 100","Citizens","Online/RTO","Aadhaar, Address Proof","None","False","False","False","2024-06-16","Active"
"Raitha Mitra","KARNATAKA GOVERNMENT SERVICES","Agriculture","https://raitamitra.karnataka.gov.in/","Farmer services and subsidies.","Free","Rs. 50","Farmers","Online","Aadhaar, FID, RTC","None","False","False","False","2024-06-16","Active"
"State Scholarship Portal (SSP Karnataka)","SCHOLARSHIPS","State Government Scholarships","https://ssp.postmatric.karnataka.gov.in/","Post/Pre-matric scholarships.","Free","Rs. 100","Students","Online","SATS ID, Aadhaar, Income/Caste","None","False","False","False","2024-06-16","Active"
"UPSC Recruitment","JOB PORTALS","CENTRAL GOVERNMENT JOBS","https://upsc.gov.in/","Civil Services, NDA, CDS.","Rs. 100","Rs. 150","Graduates/12th","Online","Photo, Signature, ID Proof","None","False","False","False","2024-06-16","Active"
"SSC Recruitment","JOB PORTALS","CENTRAL GOVERNMENT JOBS","https://ssc.nic.in/","CGL, CHSL, MTS.","Rs. 100","Rs. 100","10th/12th/Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"Railway Recruitment Boards (RRB)","JOB PORTALS","CENTRAL GOVERNMENT JOBS","https://indianrailways.gov.in/","NTPC, Group D, ALP.","Rs. 250 - 500","Rs. 100","10th/ITI/Graduates","Online","Photo, Signature, Marks Card","None","False","False","False","2024-06-16","Active"
"IBPS","JOB PORTALS","BANKING JOBS","https://www.ibps.in/","Banking PO, Clerk, SO.","Rs. 850","Rs. 150","Graduates","Online","Photo, Signature, Thumb Impression","None","False","False","False","2024-06-16","Active"
"RBI Recruitment","JOB PORTALS","BANKING JOBS","https://opportunities.rbi.org.in/","Reserve Bank of India jobs.","Rs. 850","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"SBI Careers","JOB PORTALS","BANKING JOBS","https://sbi.co.in/web/careers","SBI PO, Clerk.","Rs. 750","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"NABARD Careers","JOB PORTALS","BANKING JOBS","https://www.nabard.org/careers.aspx","NABARD Officer Recruitment.","Rs. 800","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"LIC Careers","JOB PORTALS","PSU JOBS","https://licindia.in/careers","LIC AAO, ADO Recruitment.","Rs. 700","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"GIC Careers","JOB PORTALS","PSU JOBS","https://www.gicofindia.com/","General Insurance Corporation Jobs.","Rs. 850","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"DRDO Careers","JOB PORTALS","DEFENSE JOBS","https://www.drdo.gov.in/","Defense Research Recruitment.","Rs. 100","Rs. 150","Engineers/Scientists","Online","Photo, Degree Docs","None","False","False","False","2024-06-16","Active"
"ISRO Careers","JOB PORTALS","DEFENSE JOBS","https://www.isro.gov.in/Careers.html","Space Research Recruitment.","Rs. 250","Rs. 150","Engineers/Scientists","Online","Photo, Degree Docs","None","False","False","False","2024-06-16","Active"
"BEL Recruitment","JOB PORTALS","PSU JOBS","https://bel-india.in/","Bharat Electronics Recruitment.","Varies","Rs. 100","Engineers","Online","Photo, Degree Docs","None","False","False","False","2024-06-16","Active"
"BHEL Careers","JOB PORTALS","PSU JOBS","https://careers.bhel.in/","Bharat Heavy Electricals Recruitment.","Varies","Rs. 100","Engineers","Online","Photo, Degree Docs","None","False","False","False","2024-06-16","Active"
"HAL Careers","JOB PORTALS","PSU JOBS","https://hal-india.co.in/","Hindustan Aeronautics Recruitment.","Varies","Rs. 100","Engineers","Online","Photo, Degree Docs","None","False","False","False","2024-06-16","Active"
"GAIL Careers","JOB PORTALS","PSU JOBS","https://gailonline.com/","GAIL Recruitment.","Varies","Rs. 100","Engineers","Online","Photo, Degree Docs","None","False","False","False","2024-06-16","Active"
"ONGC Careers","JOB PORTALS","PSU JOBS","https://ongcindia.com/","ONGC Recruitment.","Varies","Rs. 100","Engineers","Online","Photo, Degree Docs","None","False","False","False","2024-06-16","Active"
"NLC Careers","JOB PORTALS","PSU JOBS","https://www.nlcindia.in/","NLC India Recruitment.","Varies","Rs. 100","Engineers/ITI","Online","Photo, Docs","None","False","False","False","2024-06-16","Active"
"NPCIL Careers","JOB PORTALS","PSU JOBS","https://www.npcilcareers.co.in/","Nuclear Power Corp Recruitment.","Varies","Rs. 100","Engineers","Online","Photo, Docs","None","False","False","False","2024-06-16","Active"
"ECIL Careers","JOB PORTALS","PSU JOBS","https://www.ecil.co.in/","Electronics Corp of India Recruitment.","Varies","Rs. 100","Engineers","Online","Photo, Docs","None","False","False","False","2024-06-16","Active"
"BSNL Careers","JOB PORTALS","PSU JOBS","https://www.bsnl.co.in/","BSNL Recruitment.","Varies","Rs. 100","Engineers/Graduates","Online","Photo, Docs","None","False","False","False","2024-06-16","Active"
"Indian Coast Guard","JOB PORTALS","DEFENSE JOBS","https://joinindiancoastguard.cdac.in/","Coast Guard Recruitment.","Rs. 300","Rs. 150","12th/Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"Indian Army","JOB PORTALS","DEFENSE JOBS","https://joinindianarmy.nic.in/","Army Recruitment.","Free/Varies","Rs. 150","10th/12th/Degree","Online","Photo, Aadhaar","None","False","False","False","2024-06-16","Active"
"Indian Navy","JOB PORTALS","DEFENSE JOBS","https://www.joinindiannavy.gov.in/","Navy Recruitment.","Varies","Rs. 150","10th/12th/Degree","Online","Photo, Aadhaar","None","False","False","False","2024-06-16","Active"
"Indian Air Force","JOB PORTALS","DEFENSE JOBS","https://afcat.cdac.in/","Air Force Recruitment.","Varies","Rs. 150","12th/Degree","Online","Photo, Aadhaar","None","False","False","False","2024-06-16","Active"
"Karnataka Bank Careers","JOB PORTALS","BANKING JOBS","https://karnatakabank.com/careers","KBL Clerk/PO recruitment.","Varies","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"Canara Bank Careers","JOB PORTALS","BANKING JOBS","https://canarabank.com/careers.aspx","Canara Bank recruitment.","Varies","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"Union Bank Careers","JOB PORTALS","BANKING JOBS","https://www.unionbankofindia.co.in/","Union Bank recruitment.","Varies","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"Bank of Baroda Careers","JOB PORTALS","BANKING JOBS","https://www.bankofbaroda.in/careers","BOB recruitment.","Varies","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"Indian Bank Careers","JOB PORTALS","BANKING JOBS","https://www.indianbank.in/","Indian Bank recruitment.","Varies","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"Bank of India Careers","JOB PORTALS","BANKING JOBS","https://bankofindia.co.in/careers","BOI recruitment.","Varies","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"PNB Careers","JOB PORTALS","BANKING JOBS","https://www.pnbindia.in/Recruitments.aspx","Punjab National Bank recruitment.","Varies","Rs. 150","Graduates","Online","Photo, Signature","None","False","False","False","2024-06-16","Active"
"KPSC","JOB PORTALS","KARNATAKA GOVERNMENT JOBS","https://kpsc.kar.nic.in/","Karnataka Public Service Commission.","Rs. 300 - 600","Rs. 100","Degree + Kannada knowledge","Online","Photo, Signature, Caste","None","False","False","False","2024-06-16","Active"
"KEA","JOB PORTALS","KARNATAKA GOVERNMENT JOBS","https://cetonline.karnataka.gov.in/kea/","Karnataka Examinations Authority.","Varies","Rs. 100","Varies","Online","Photo, Docs","None","False","False","False","2024-06-16","Active"
"Karnataka Police Recruitment","JOB PORTALS","KARNATAKA GOVERNMENT JOBS","https://ksp-recruitment.in/","State Police Jobs.","Rs. 400","Rs. 150","12th/Degree","Online","Photo, Docs","None","False","False","False","2024-06-16","Active"
"Minority Scholarships","SCHOLARSHIPS","Government Scholarships","https://scholarships.gov.in/","NSP Minority schemes.","Free","Rs. 100","Minority Students","Online","Aadhaar, Bank, Income Cert","None","False","False","False","2024-06-16","Active"
"SC/ST Scholarships","SCHOLARSHIPS","Government Scholarships","https://scholarships.gov.in/","NSP SC/ST schemes.","Free","Rs. 100","SC/ST Students","Online","Aadhaar, Bank, Caste Cert","None","False","False","False","2024-06-16","Active"
"OBC Scholarships","SCHOLARSHIPS","Government Scholarships","https://scholarships.gov.in/","NSP OBC schemes.","Free","Rs. 100","OBC Students","Online","Aadhaar, Bank, Caste Cert","None","False","False","False","2024-06-16","Active"
"FSSAI","BUSINESS SERVICES","Licenses","https://foscos.fssai.gov.in/","Food Safety License.","Rs. 100/yr","Rs. 500","Food Businesses","Online","Photo, ID Proof, Premise Proof","None","False","False","False","2024-06-16","Active"
"Trade License","BUSINESS SERVICES","Licenses","https://mrc.gov.in/","Local municipal trade license.","Varies","Rs. 500","Businesses","Online/Municipal Office","Rental Agreement, ID","None","False","False","False","2024-06-16","Active"
"Professional Tax","BUSINESS SERVICES","Taxes","https://pt.kar.nic.in/","Karnataka Professional Tax enrollment.","Varies","Rs. 500","Employers/Professionals","Online","PAN, Business Reg","None","False","False","False","2024-06-16","Active"
"Labour Registration","BUSINESS SERVICES","Licenses","https://ekarmika.com/","Shops & Establishments Registration.","Varies","Rs. 500","Shops/Businesses","Online","Rental Agreement, Partners ID","None","False","False","False","2024-06-16","Active"
"IRCTC","TRAVEL SERVICES","RAIL","https://www.irctc.co.in/","Train Booking.","Ticket Fare","Rs. 50","Public","Online","ID for travel","None","False","False","False","2024-06-16","Active"
"KSRTC","TRAVEL SERVICES","BUS","https://ksrtc.in/","Karnataka Bus Booking.","Ticket Fare","Rs. 30","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"NWKRTC","TRAVEL SERVICES","BUS","https://nwkrtc.in/","North West Karnataka Bus Booking.","Ticket Fare","Rs. 30","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"KKRTC","TRAVEL SERVICES","BUS","https://kkrtc.in/","Kalyana Karnataka Bus Booking.","Ticket Fare","Rs. 30","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"BMTC","TRAVEL SERVICES","BUS","https://mybmtc.karnataka.gov.in/","Bangalore City Bus Passes.","Pass Fare","Rs. 20","Public","Online/Counters","ID, Photo","None","False","False","False","2024-06-16","Active"
"RedBus","TRAVEL SERVICES","BUS","https://www.redbus.in/","Private bus booking.","Ticket Fare","Rs. 50","Public","Online","None","None","False","False","False","2024-06-16","Active"
"AbhiBus","TRAVEL SERVICES","BUS","https://www.abhibus.com/","Private bus booking.","Ticket Fare","Rs. 50","Public","Online","None","None","False","False","False","2024-06-16","Active"
"MakeMyTrip","TRAVEL SERVICES","HOTELS & FLIGHTS","https://www.makemytrip.com/","Flight and hotel booking.","Booking Cost","Rs. 100","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"Goibibo","TRAVEL SERVICES","HOTELS & FLIGHTS","https://www.goibibo.com/","Flight and hotel booking.","Booking Cost","Rs. 100","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"Booking.com","TRAVEL SERVICES","HOTELS","https://www.booking.com/","Hotel booking.","Booking Cost","Rs. 50","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"Agoda","TRAVEL SERVICES","HOTELS","https://www.agoda.com/","Hotel booking.","Booking Cost","Rs. 50","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"Yatra","TRAVEL SERVICES","HOTELS & FLIGHTS","https://www.yatra.com/","Travel booking.","Booking Cost","Rs. 100","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"Air India","TRAVEL SERVICES","FLIGHTS","https://www.airindia.in/","Flight booking.","Ticket Fare","Rs. 100","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"IndiGo","TRAVEL SERVICES","FLIGHTS","https://www.goindigo.in/","Flight booking.","Ticket Fare","Rs. 100","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"Akasa Air","TRAVEL SERVICES","FLIGHTS","https://www.akasaair.com/","Flight booking.","Ticket Fare","Rs. 100","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"SpiceJet","TRAVEL SERVICES","FLIGHTS","https://www.spicejet.com/","Flight booking.","Ticket Fare","Rs. 100","Public","Online","ID","None","False","False","False","2024-06-16","Active"
"Electricity Bill Payment","UTILITY SERVICES","Electricity","https://www.billdesk.com/","Pay power bills.","Bill Amount","Rs. 10 - 20","Consumers","Online","Account ID","None","False","False","False","2024-06-16","Active"
"Water Bill Payment","UTILITY SERVICES","Water","https://www.billdesk.com/","Pay water bills.","Bill Amount","Rs. 10 - 20","Consumers","Online","Account ID","None","False","False","False","2024-06-16","Active"
"Mobile Recharge","UTILITY SERVICES","Mobile Recharge","https://www.jio.com/","Prepaid/Postpaid mobile recharge.","Recharge Amount","Rs. 10","Consumers","Online","Mobile Number","None","False","False","False","2024-06-16","Active"
"DTH Recharge","UTILITY SERVICES","DTH Recharge","https://www.tataplay.com/","TV DTH recharge.","Recharge Amount","Rs. 10","Consumers","Online","Subscriber ID","None","False","False","False","2024-06-16","Active"
"LPG Booking","UTILITY SERVICES","LPG Booking","https://www.mylpg.in/","Gas cylinder booking.","Cylinder Price","Rs. 10","Consumers","Online","Consumer Number","None","False","False","False","2024-06-16","Active"
"FASTag Recharge","UTILITY SERVICES","FASTag","https://fastag.ihmcl.com/","Toll tag recharge.","Recharge Amount","Rs. 10","Vehicle Owners","Online","Vehicle Number","None","False","False","False","2024-06-16","Active"
"Broadband Bill","UTILITY SERVICES","Broadband","https://www.bsnl.co.in/","Internet bill payment.","Bill Amount","Rs. 10","Consumers","Online","Account ID","None","False","False","False","2024-06-16","Active"
